profile_id,source_id,type,claim,snippet,code_grounded,judge_verdict,judge_reason
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Financial and operational capacity,Financial and operational capacity and exclusion described in Annex C of the Work Programme General Annexes,True,partial,"The snippet mentions financial and operational capacity but does not provide specific details. It references Annex C of the Work Programme General Annexes for further information, which implies that more context is needed to fully support the claim."
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Evaluation and award criteria,"Award criteria, scoring and thresholds are described in Annex D of the Work Programme General Annexes",True,partial,"The snippet mentions that award criteria, scoring, and thresholds are described in a specific annex, which is related to the claim about evaluation and award criteria. However, it does not directly state or provide details on what these criteria are, only where they can be found."
p02-green-energy,HORIZON-CL5-2026-09-D3-03,eligibility,Legal and financial set-up of the grants,Beneficiaries must provide financial support to third parties (FSTP). The support to third parties can only be provided in the form of grants. The maximum amount to be granted to each third party is EUR 1 000 000,True,partial,"The snippet mentions that financial support can only be provided in the form of grants and specifies a maximum amount. However, it does not provide details about the legal and procedural aspects of setting up these grants."
p02-green-energy,HORIZON-CL5-2024-D3-01-10,fit,The SME’s project fits within the scope of 'Next generation of renewable energy technologies'.,Next generation of renewable energy technologies,True,yes,"The snippet directly states 'Next generation of renewable energy technologies', which aligns with the claim about the SME’s project fitting within this scope."
p02-green-energy,LIFE-2026-CET-DIGITAL,fit,The project involves digitalisation of DSOs which aligns with the call's objective.,"The digitalisation of electricity Distribution System Operators (DSOs), within the framework of Electricity Market Design [2] and the Digitalisation of Energy Action Plan [3], enables smarter operation of distribution networks, facilitates active consumer participation and flexibility markets, and supports the EU’s long-term objective of climate neutrality by 2050",False,yes,"The snippet directly mentions the digitalisation of DSOs as a key aspect aligned with the call's objectives, including smarter operation and climate neutrality goals."
p02-green-energy,LIFE-2026-CET-DIGITAL,eligibility,Admissibility conditions,Admissibility conditions: Proposal page limit and layout described in section 5 of the call document,True,no,The snippet mentions proposal page limits and layout but does not provide information about admissibility conditions in general.
p02-green-energy,LIFE-2026-CET-DIGITAL,eligibility,Eligible countries,Eligible countries described in section 6 of the call document,True,partial,"The snippet indicates that information about eligible countries can be found in section 6 of the call document, but it does not directly state what those countries are."
p02-green-energy,LIFE-2026-CET-DIGITAL,eligibility,Other eligibility conditions,Other eligibility conditions described in section 6 of the call document,True,yes,"The snippet directly states that other eligibility conditions are found in section 6 of the call document, which supports the claim."
p02-green-energy,LIFE-2026-CET-DIGITAL,eligibility,Financial and operational capacity,Financial and operational capacity and exclusion described in section 7 of the call document,True,partial,The snippet mentions financial and operational capacity but indicates that more details are provided in section 7 of the call document.
p03-health-data,HORIZON-HLTH-2026-02-DISEASE-12,fit,"The SME's profile aligns with the scope of the call, focusing on health data and clinical research.","Advance and consolidate the capacity building of the RD data ecosystem by supporting interoperable and/or federated cross-border access and analysis of FAIR research and healthcare data, including rare disease registries, ensuring ongoing their usability more efficient translational and clinical research, including regulatory science",True,no,"The snippet focuses on capacity building for the RD data ecosystem, supporting interoperable access to healthcare data. It does not directly mention SMEs or their alignment with a specific scope of health data and clinical research."
p03-health-data,HORIZON-HLTH-2026-02-DISEASE-12,eligibility,The proposal must be submitted by the coordinator of the consortium funded under topic HORIZON-HLTH-2023-DISEASE-07-01: “European Partnership on Rare Diseases”.,The proposal must be submitted by the coordinator of the consortium funded under topic HORIZON-HLTH-2023-DISEASE-07-01: “European Partnership on Rare Diseases”. This eligibility condition is without prejudice to the possibility to include additional partners,True,yes,"The snippet directly states that the proposal must be submitted by the coordinator of the consortium funded under the specified topic, which exactly matches the claim."
p03-health-data,HORIZON-HLTH-2026-02-DISEASE-12,eligibility,Eligible countries are described in Annex B of the Work Programme General Annexes.,Eligible countries are described in Annex B of the Work Programme General Annexes,True,yes,"The snippet directly states that eligible countries are described in Annex B of the Work Programme General Annexes, which exactly matches the claim."
p03-health-data,HORIZON-HLTH-2026-02-DISEASE-12,eligibility,Other eligibility conditions are described in Annex B of the Work Programme General Annexes.,Other eligibility conditions are described in Annex B of the Work Programme General Annexes,True,yes,"The snippet directly states that other eligibility conditions are described in Annex B of the Work Programme General Annexes, which exactly matches the claim."
p03-health-data,HORIZON-HLTH-2026-02-DISEASE-12,eligibility,Financial and operational capacity and exclusion are described in Annex C of the Work Programme General Annexes.,Financial and operational capacity and exclusion are described in Annex C of the Work Programme General Annexes,True,yes,"The snippet directly states that financial and operational capacity and exclusion are described in Annex C of the Work Programme General Annexes, which exactly matches the claim."
p03-health-data,HORIZON-JU-GH-EDCTP3-2026-03-SERP-01,fit,"The call is focused on ethics, regulatory, and pharmacovigilance capacity development in SSA countries.","this call aims to scale and sustain these efforts by establishing training, twinning, and innovation networks, leveraging existing networks where applicable that will bolster workforce capacity in ethics, regulatory, and PV and harmonisation of processes and timelines",True,partial,"The snippet mentions ethics, regulatory, and pharmacovigilance (PV) as areas for capacity development but does not explicitly state that these are the main focuses of the call in SSA countries."
p03-health-data,HORIZON-JU-GH-EDCTP3-2026-03-SERP-01,eligibility,Eligible countries,"To be eligible for funding, applicants must be established in one of the following countries: The Member States of the European Union, including their outermost regions",True,partial,"The snippet mentions that applicants must be established in EU Member States or their outermost regions to be eligible for funding. However, it does not explicitly state 'eligible countries' as part of the claim."
p03-health-data,HORIZON-JU-GH-EDCTP3-2026-03-SERP-01,eligibility,Entities eligible for funding,"legal entities must be eligible for funding. To be eligible for funding, applicants must be established in one of the following countries: The Member States of the European Union, including their outermost regions",True,partial,"The snippet specifies that legal entities must be eligible for funding and lists the countries where applicants can be established to be eligible. However, it does not explicitly state 'entities' as the subject, only 'legal entities', which is a subset of possible entities."
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,fit,The SME's project description aligns with the call’s focus on AI and healthcare applications.,Apply AI: Piloting AI-based image screening in medical centres,True,partial,The snippet mentions applying AI in a medical context but does not explicitly state that it aligns with the SME's project description.
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,eligibility,Eligible countries described in section 6 of the call document .,Eligible countries described in section 6 of the call document,True,yes,"The snippet directly states that eligible countries are described in section 6 of the call document, which aligns with the claim."
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,eligibility,Other eligibility conditions described in section 6 of the call document .,Other eligibility conditions described in section 6 of the call document,True,yes,"The snippet directly states that other eligibility conditions are described in section 6 of the call document, which aligns with the claim."
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,eligibility,Financial and operational capacity and exclusion described in section 7 of the call document .,Financial and operational capacity and exclusion described in section 7 of the call document,True,yes,"The snippet directly states that financial and operational capacity and exclusion are described in section 7 of the call document, which exactly matches the claim."
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,eligibility,Evaluation and award: Submission and evaluation processes described section 8 of the call document and the Online Manual.,Evaluation and award: Submission and evaluation processes described section 8 of the call document and the Online Manual,True,yes,"The snippet directly states that the submission and evaluation processes are described in section 8 of the call document and the Online Manual, which aligns with the claim."
p03-health-data,DIGITAL-2026-AI-PILOTING-10-SCREENING,eligibility,Legal and financial set-up of the grants described in section 10 of the call document .,Legal and financial set-up of the grants described in section 10 of the call document,True,yes,"The snippet directly states the legal and financial set-up of the grants as described in section 10 of the call document, which exactly matches the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,fit,"The SME's focus on precision agriculture and drone imagery could be relevant for the call’s scope, as it involves advanced detection technologies.","Scope: Assisting soldiers with robots and drones that can provide accurate tactical situational awareness by using AI becomes essential for soldier protection. This call topic aims to follow on and complement previous activities in the field of hidden threat detection and explore solutions involving various combinations of intelligent robots, drones and sensing technologies for advanced detection and recognition of threats, in view of their avoidance or neutralisation",True,no,"The snippet focuses on military applications of drones and robots for threat detection, which does not directly support the SME's focus on precision agriculture and drone imagery."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Eligible Countries,Conditions 1. Admissibility Conditions: Proposal page limit and layout described in section 5 of the call document . Proposal page limits and layout: described in Part B of the Application Form available in the Submission System,True,no,The snippet does not provide information about eligible countries. It discusses proposal page limits and layout conditions.
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Financial and operational capacity and exclusion,4. Financial and operational capacity and exclusion described in section 7 of the call document,True,partial,"The snippet mentions financial and operational capacity and exclusion, which are part of the claim, but it does not provide any specific details or information to directly support the claim. It only refers to section 7 of the call document where this information might be found."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Evaluation and award processes,5a. Evaluation and award: Submission and evaluation processes described section 8 of the call document and the Online Manual,True,partial,"The snippet mentions that submission and evaluation processes are described in section 8 of the call document and the Online Manual. However, it does not directly state whether these processes involve evaluation and award."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAP-STEP,eligibility,Legal and financial set-up of the grants,6. Legal and financial set-up of the grants described in section 10 of the call document,True,partial,The snippet mentions the legal and financial setup of the grants but refers to a specific section (section 10) for details. It does not provide direct information about these aspects.
p04-agritech,HORIZON-MISS-2026-05-SOIL-04,fit,The SME’s precision-farming tools align with the call’s focus on AI-driven soil health management.,"develop AI-driven tools to analyze integrated datasets (including publicly available such as CORDIS, SoilWise repository or repositories like Zenodo), extracting meaningful patterns, and generating predictive models that inform soil health dynamics and management strategies",True,partial,The snippet mentions AI-driven tools for analyzing datasets related to soil health but does not specifically mention precision-farming tools. It aligns with the focus on AI-driven soil health management but does not directly support the claim about precision-farming tools.
p04-agritech,HORIZON-MISS-2026-05-SOIL-04,eligibility,Eligible Countries,Eligible Countries described in Annex B of the Work Programme General Annexes,True,partial,The snippet mentions that eligible countries are described in a specific annex but does not directly state whether the claim about 'Eligible Countries' is supported. It provides related information but is not sufficient to fully support or refute the claim.
p04-agritech,HORIZON-MISS-2026-05-SOIL-04,eligibility,Multi-actor approach,Proposals must apply the multi-actor approach. See definition of the multi-actor approach in the introduction to this work programme part. described in Annex B of the Work Programme General Annexes,True,yes,"The snippet directly states that proposals must apply the multi-actor approach, which supports the claim."
p04-agritech,HORIZON-MISS-2026-05-SOIL-04,eligibility,Financial and operational capacity,Financial and operational capacity and exclusion described in Annex C of the Work Programme General Annexes,True,partial,"The snippet mentions financial and operational capacity but does not provide specific details. It references Annex C of the Work Programme General Annexes for further information, which implies that more context is needed to fully support the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,fit,The SME’s focus does not align with the call scope which emphasizes AI-based tactical situational awareness using swarms of small robots and drones.,AI-based tactical situational awareness using swarms of small robots and drones – organisation of a  technological challenge,True,no,"The snippet emphasizes AI-based tactical situational awareness using swarms of small robots and drones, which is actually part of the call scope. It does not support the claim that the SME's focus does not align with this scope."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Eligible Countries described in section 6 of the call document .,Eligible Countries described in section 6 of the call document,True,yes,The snippet directly states that 'Eligible Countries described in section 6 of the call document' which exactly matches the claim.
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Other Eligible Conditions described in section 6 of the call document .,Other Eligible Conditions described in section 6 of the call document,True,yes,"The snippet directly states 'Other Eligible Conditions described in section 6 of the call document', which exactly matches the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Financial and operational capacity and exclusion described in section 7 of the call document .,Financial and operational capacity and exclusion described in section 7 of the call document,True,yes,"The snippet directly states that financial and operational capacity and exclusion are described in section 7 of the call document, which exactly matches the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Evaluation and award: Submission and evaluation processes described section 8 of the call document and the Online Manual.,Evaluation and award: Submission and evaluation processes described section 8 of the call document and the Online Manual,True,yes,"The snippet directly states that the submission and evaluation processes are described in section 8 of the call document and the Online Manual, which aligns with the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,"Evaluation and award: Award criteria, scoring and thresholds described in section 9 of the call document .","Evaluation and award: Award criteria, scoring and thresholds described in section 9 of the call document",True,yes,"The snippet directly states that the evaluation and award criteria are described in section 9 of the call document, which exactly matches the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Evaluation and award: Indicative timeline for evaluation and grant agreement described in section 4 of the call document .,Evaluation and award: Indicative timeline for evaluation and grant agreement described in section 4 of the call document,True,yes,"The snippet directly states that the indicative timeline for evaluation and grant agreement is described in section 4 of the call document, which aligns with the claim."
p04-agritech,EDF-2026-LS-RA-CHALLENGE-DIGIT-AISAO,eligibility,Legal and financial set-up of the grants described in section 10 of the call document .,Legal and financial set-up of the grants described in section 10 of the call document,True,yes,"The snippet directly states the legal and financial set-up of the grants as described in section 10 of the call document, which exactly matches the claim."
